Sentence Utterance,Action,Object
 <PHONE_NUMBER_REMOVED> ผมไปจ่ายเงินที่ Counter Services เค้าเช็ต 3276.25 บาท เมื่อวานที่ผมเช็คที่ศูนย์บอกมียอด 3057.79 บาท,enquire,payment
 internet ยังความเร็วอยุ่เท่าไหร ครับ,enquire,package
 ตะกี้ไปชำระค่าบริการไปแล้ว แต่ยังใช้งานไม่ได้ ค่ะ,report,suspend
 พี่ค่ะยังใช้ internet ไม่ได้เลยค่ะ เป็นเครื่อง โกลไล,enquire,internet
 ฮาโหล คะ พอดีว่าเมื่อวานเปิดซิมทรูมูฟ แต่มันโทรออกไม่ได้คะ แต่เล่นเนตได้คะ,report,phone_issues
*2222 ใช้งานยังไง ขอรายละเอียดการสมัครหน่อย,enquire,service
<PHONE_NUMBER_REMOVED> เคยมีช่างมาซ่อมที่บ้าน แล้วโทรศัพท์ใช้งานไม่ได้ครับ,enquire,nonTrueMove
<PHONE_NUMBER_REMOVED> ค้างค่าบริการเท่าไหร่ครับ,enquire,balance
<PHONE_NUMBER_REMOVED> อินเตอร์เน็ตไฟ Adsl ไม่มีสัญญาณครับ,enquire,nonTrueMove
<PHONE_NUMBER_REMOVED> เค้าบอกจะส่งรหัสเน็ตมาให้ แต่ยังไม่ได้ส่งมาเลยค่ะ,enquire,internet
<PHONE_NUMBER_REMOVED> ไปชำระค่าบริการช้า เน็ตตัด แต่พี่ไปชำระค่าบริการแล้วค่ะ แต่ยังใช้ไม่ได้ค่ะ,report,phone_issues
<PHONE_NUMBER_REMOVED> คู่สายใช้ไม่ได้ อินเตอร์เน็ตก็เลยใช้ไม่ได้ค่ะ,enquire,nonTrueMove
<PHONE_NUMBER_REMOVED> รหัส ทรู ไวไฟ,enquire,internet
<PHONE_NUMBER_REMOVED> เบอร์นี้ไม่ได้ใช้อินเตอร์เน็ต เป็นโทรศัพท์บ้านธรรมดา มันใช้งานไม่ได้มาหลายวนแล้วนะค่ะ เกือบอาทิตย์แล้ว,enquire,nonTrueMove
<PHONE_NUMBER_REMOVED> มันใช้บริการเน็ตไม่ได้ ,enquire,nonTrueMove
<PHONE_NUMBER_REMOVED> ยอดชำระของเดือนที่ผ่านมาเท่าไหร่ค่ะ ,enquire,balance
<PHONE_NUMBER_REMOVED> จะยกเลิกข้อความนะคะ,cancel,service
<PHONE_NUMBER_REMOVED> โทรเข้า โทรออก ไม่ได้แล้วหรอครับ,report,phone_issues
<PHONE_NUMBER_REMOVED> เป็นหมายเลขของเครือข่ายอะไรค่ะ,enquire,detail
<PHONE_NUMBER_REMOVED> เป็นหมายเลขของเครือข่ายอะไรค่ะ,enquire,detail
<PHONE_NUMBER_REMOVED> หมายเลขนี้โดนระงับบริการเหรอค่ะ,report,suspend
<PHONE_NUMBER_REMOVED> มีการเปิดใช้งาน GPRS หรือป่าว,enquire,internet
<PHONE_NUMBER_REMOVED> โทรศัพท์ผมไม่มีสัญญาณ โทรเข้า โทรออกไม่ได้เลยครับ ,report,phone_issues
<PHONE_NUMBER_REMOVED> มีการเชื่อมต่ออินเตอร์เน็ตอยู่หรือเปล่าค่ะ,enquire,internet
<PHONE_NUMBER_REMOVED> ค่ะ มียอดค้างชำระเท่าไหร่คะ น้องต่อระบบให้พี่ก่อนพี่เป็น sale พี่กดออกไม่ได้งงว่าทำไมตัดเลยอะ,enquire,balance
<PHONE_NUMBER_REMOVED> มี SMS อะไรไม่รู้อ่ะค่ะ จะยกเลิกอ่ะค่ะ,cancel,service
<PHONE_NUMBER_REMOVED> อยากทราบว่าทำไมใช้งานไม่ได้ครับ,report,phone_issues
<PHONE_NUMBER_REMOVED> ต้องการให้โอนสายทุกกรณี เนื่องจากลืมโทรศัพท์ไว้ที่บ้านครับ ,enquire,service
<PHONE_NUMBER_REMOVED> ผมยังไม่ได้ใช้เลยครับ ทำไมมันมียอดให้ชำระครับ ,Enquire,bill
<PHONE_NUMBER_REMOVED> เมื่อกี้มีขอความของทรูมูฟเอชเข้ามา อยากจะทราบว่ามันหมายความอย่างไร เครดิตของคุณตอนนี้ 91% ค่ะ,enquire,credit
<PHONE_NUMBER_REMOVED> โดนตัดสัญญาณหรือเปล่าครับ โทรเข้าออกไม่ได้ ,report,suspend
<PHONE_NUMBER_REMOVED> ไม่ทราบว่ามันโทรออกไม่ได้เพราะอะไร เพราะพึ่งไปชำระเงินมา,report,phone_issues
<PHONE_NUMBER_REMOVED> สมัครโปรโทรฟรี โทร ทรูมูฟเอชได้หรือเปล่าครับ,enquire,promotion
<PHONE_NUMBER_REMOVED>8ค่ะ จะสอบถามอินเตอร์เน็ตที่อันลิตมิตค่า,enquire,promotion
<PHONE_NUMBER_REMOVED> เติมบัตรไม่ได้เลย ,enquire,payment
<PHONE_NUMBER_REMOVED> เป็นเติมเงินนะคะ เดี๋ยวนี้วันหมดอายุ ต้องขอต่ออีกหรือไม่คะ,buy,package
<PHONE_NUMBER_REMOVED> เป็นเติมเงินนะคะ เดี๋ยวนี้วันหมดอายุ ต้องขอต่ออีกหรือไม่คะ,buy,package
<PHONE_NUMBER_REMOVED>ค่า ไปชำระค่าโทรมาแล้ว ก็ยังใช้ไม่ได้อยู่ดีค่ะ,report,suspend
<PHONE_NUMBER_REMOVED> ครับ ผมขอเช็คหน่อยพอดีเมื่อกี๊ผมไปชำระยอดเงินมา ผมชำระค่าบริการมาที่ Big C สุรินทร์ พอดีผมกลับมาแล้ว พอดีผมมาเช็คยอดดูผมมียอดค้างเดือน 5 เดือน 6 ด้วยหรอฮะ ของปีที่แล้ว,enquire,balance
<PHONE_NUMBER_REMOVED> ถ้าจะเล่นกับคอม ต้องทำยังไง,enquire,mobile_setting
<PHONE_NUMBER_REMOVED> ลูกค้าเติมเงินที่ <PHONE_NUMBER_REMOVED> เติมไป 150 บาท เงินของเค้าถูกตัด เค้าไม่เข้าใจว่าถูกตัดค่าอะไรไปค่ะ,enquire,payment
<PHONE_NUMBER_REMOVED> มันโทรไม่ออกอ่ะ เห็นบอกโดนระงับ เห็นบอกตั้งวันที่15ไม่ใช่เหรอค่ะ,report,suspend
<PHONE_NUMBER_REMOVED> ใช้เบอร์เล่นอินเตอร์เน็ตอยู่ มันเป็นแอร์การ์ด จะยกเลิกอ่ะครับ,cancel,service
<PHONE_NUMBER_REMOVED> มันโทรไม่ได้ เกิดจากสาเหตุอะไรครับ,report,phone_issues
<PHONE_NUMBER_REMOVED> มียอดเท่าไหร่แล้วครับ,enquire,balance
"<PHONE_NUMBER_REMOVED> เปิด บีบีN เมื่อสักครู่คุยกับเจ้าหน้าที่เค้าให้เราตั้งค่า ตรง host router 
ยังไม่มีค่าขึ้นมาเลย รบกวนให้คุณส่งมาให้หน่อยค่ะ",enquire,internet
<PHONE_NUMBER_REMOVED> ใช้โปรอะไรอยู่ค่ะ,enquire,package
1331 โทรมาบอกพี่ว่าค้างค่าชำระ ดูให้หน่อย,enquire,balance
22817001 ดูสิว่าเป็นเพราะอะไรที่ชมไม่ได้,enquire,nonTrueMove
3 G ที่ใช้กับโปรโมชั่นมันหมด ถ้าจะเติมจะทำยังไงค่ะ มันมียังไงบ้าง,enquire,promotion
3 บริการ ลด 10 % อ่ะค่ะ,enquire,promotion
3 วันก่อนมีจนท.ติดต่อผมให้เปลี่ยนเป็นระบบ 3G นะ ทีนี้มันต้องทำอย่างไรบ้างหน่ะครับ ต้องไปทำที่ศูนย์เหรอ หรือว่าเปลี่ยนได้เลย,enquire,service
3g wifi edge ตอนนี้มีโปรโมชั่นอะไรบ้างค่ะ,enquire,promotion
3g wifi edge ตอนนี้มีโปรโมชั่นอะไรบ้างค่ะ,enquire,promotion
3g wifi edge ตอนนี้มีโปรโมชั่นอะไรบ้างค่ะ,enquire,promotion
3G ใช้งานไม่ได้ ชำระเงินไปแล้วค่ะ ,enquire,payment
3G ที่เป็นรายเดือนหน่ะค่ะ ตอนนี้มันใช้ครบแล้ว ถ้าเราไม่ได้สมัครแพ็คเกจเสริมเนี่ย มันจะกินเงินเราไหม ,enquire,package
3G ผมปกติโหลดได้ 9 MB 10 MB แต่วันนี้มันไม่ถึง1เลยครับผมไม่ทราบว่าเบอร์มีปัญหาหรือแพ็กเก็จผมเต็ม,enquire,internet
3G มันจะหมดแล้วหน่ะค่ะ ฟรี 1กิ๊ก มันจะหมดหรือยัง ผมต้องซื้อแพ็คเกจเพิ่มไหม ,enquire,internet
Add MAC Address,enquire,service
Air Card เชื่อมต่อ อินเตอร์เน็ต ไม่ได้,enquire,internet
app iservice มันไม่ค่อยrunเลยค่ะ,enquire,iservice
check เบอร์หน่อยครับว่าใช้ได้ถึงวันที่เท่าไหร่ครับ,enquire,balance
Data Roaming ราคาพิเศษมีไหม ,enquire,roaming
Due date เมื่อไหร่,enquire,payment
goliveครับ ทีนี้ตอนที่ข้อความรูปจะเข้า มันขึ้นข้อความว่า หน่อยความจำไม่เพียงพออย่างเนี้ย,enquire,mobile_setting
Hello พี่ครับ พอดีผมอยากจะแจ้งว่าเมื่อวานผมขอ เปิด สัญญาณ ฉุกเฉินไว้แล้วเค้าเปิดให้หน่อยเดียว            ,activate,service
internet 1k ที่สมัครไว้ใช้งานหมดแล้ว สามารถสมัครใหม่ได้หรือเปล่าครับ,buy,package
internet ใช้งานไม่ได้ค่ะ ได้ไปชำระเงินแล้วค่ะ ,enquire,payment
internet ผมมันใช้งานไม่ได้ มันขึ้น error 324 ครับ,enquire,internet
iPad mini ใช้งาน สามจี Low Speed,enquire,internet
I-phone 4 ผมไม่มีสัญญาณ 3G เลยอ่ะครับ,enquire,internet
I-phone 4 ผมไม่มีสัญญาณ สามจี เลยอ่ะครับ,enquire,internet
iphone ย้ายค่ายจะใช้โปร 799 ได้ไหมค่ะ,enquire,promotion
iphone ย้ายค่ายจะใช้โปร 799 ได้ไหมค่ะ,enquire,promotion
